"ID" "blockLog" "total_time" "p_opticflow" "duration_s" "duration"
"76" 34 6 44.5260000000126 "forward" 24.0619999999981 54.0403359834507
"77" 35 2 44.018999999942 "backward" 18.3829999999871 41.7615120743572
"78" 35 2 44.018999999942 "forward" 10.4879999999757 23.8260751039086
"79" 35 5 44.0380000000077 "backward" 9.85300000000279 22.3738589400088
"80" 35 5 44.0380000000077 "forward" 17.3790000000008 39.4636450338293
"81" 36 1 43.6730000000171 "backward" 9.87700000000767 22.6158038147226
"82" 36 1 43.6730000000171 "forward" 21.0270000000092 48.1464520413091
"83" 36 7 44.3259999999937 "backward" 10.1929999999993 22.9955330957018
"84" 36 7 44.3259999999937 "forward" 10.1670000000013 22.9368767766158
"85" 37 2 44.3279999999941 "backward" 18.5269999999946 41.795253564332
"86" 37 2 44.3279999999941 "forward" 20.148000000001 45.452084461297
